Date,Open,High,Low,Close,Volume,Adj Close
2017-01-09,19931.410156,19943.779297,19887.380859,19887.380859,287060000,19887.380859
2017-01-06,19906.960938,19999.630859,19834.080078,19963.800781,277700000,19963.800781
2017-01-05,19924.560547,19948.599609,19811.119141,19899.289062,269920000,19899.289062
2017-01-04,19890.939453,19956.140625,19878.830078,19942.160156,280010000,19942.160156
2017-01-03,19872.859375,19938.529297,19775.929688,19881.759766,339180000,19881.759766
2016-12-30,19833.169922,19852.550781,19718.669922,19762.599609,271910000,19762.599609
2016-12-29,19835.460938,19878.439453,19788.939453,19819.779297,172040000,19819.779297
2016-12-28,19964.310547,19981.109375,19827.310547,19833.679688,188350000,19833.679688
2016-12-27,19943.460938,19980.240234,19939.800781,19945.039062,158540000,19945.039062
2016-12-23,19908.609375,19934.150391,19899.060547,19933.810547,158260000,19933.810547
2016-12-22,19922.679688,19933.830078,19882.189453,19918.880859,258290000,19918.880859
2016-12-21,19968.970703,19986.560547,19941.960938,19941.960938,256640000,19941.960938
2016-12-20,19920.589844,19987.630859,19920.419922,19974.619141,284080000,19974.619141
2016-12-19,19836.660156,19917.779297,19832.949219,19883.060547,302310000,19883.060547
2016-12-16,19909.009766,19923.169922,19821.00,19843.410156,573470000,19843.410156
2016-12-15,19811.50,19951.289062,19811.50,19852.240234,357350000,19852.240234
2016-12-14,19876.130859,19966.429688,19748.669922,19792.529297,408430000,19792.529297
2016-12-13,19852.210938,19953.75,19846.449219,19911.210938,388420000,19911.210938
2016-12-12,19770.199219,19824.589844,19747.740234,19796.429688,333660000,19796.429688
